Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,Season
70,Timo Pielmeier,21,ANA,1,0,0,0,0,5,12,7,0.583,7.5,0,-0.4,40,0,,0,,,0,0,0,0,2010
80,Iiro Tarkki,26,ANA,1,0,1,0,0,3,10,7,0.7,4.41,0,-0.2,41,0,,0,,,0,0,0,0,2011
90,Dustin Tokarski,27,ANA,1,0,0,0,0,0,5,5,1,0,0,0.1,10,0,,0,,,0,0,0,0,2016
59,Mike McKenna,31,ARI,1,1,0,1,0,5,34,29,0.853,5,0,0,60,0,0,0,,,0,0,0,0,2014
51,Marek Langhamer,22,ARI,1,0,0,0,0,1,8,7,0.875,3.87,0,0,16,0,,0,,,0,0,0,0,2016
55,Marek Langhamer,23,ARI,1,0,0,0,0,0,10,10,1,0,0,0.2,29,0,,0,,,0,0,0,0,2017
60,Hunter Miska,23,ARI,1,0,0,0,0,1,9,8,0.889,3.28,0,0,18,0,,0,,,0,0,0,0,2018
58,Norm Maracle,27,ATL,1,,0,1,0,3,20,17,0.85,3,0,0,60,,,,,,0,0,0,0,2001
33,Jim Pettie,23,BOS,1,,1,0,0,3,30,27,0.9,3,0,0.2,60,,,,,,0,0,0,0,1976
35,Jim Pettie,24,BOS,1,,0,1,0,6,26,20,0.769,6,0,-0.1,60,,,,,,0,0,0,6,1977
3,Marco Baron,20,BOS,1,,0,0,0,2,13,11,0.846,3,0,0.1,40,,,,,,0,0,0,0,1979
65,Jim Stewart,22,BOS,1,,0,1,0,5,9,4,0.444,15,0,-0.3,20,,,,,,0,0,0,0,1979
14,Matt DelGuidice,23,BOS,1,,0,0,0,0,7,7,1,0,0,0.1,10,,,,,,0,0,0,0,1990
1,Mike Bales,21,BOS,1,,0,0,0,1,10,9,0.9,2.42,0,0.1,25,,,,,,0,0,0,0,1992
67,Robbie Tallas,22,BOS,1,,1,0,0,3,29,26,0.897,3,0,0.2,60,,,,,,0,0,0,0,1995
68,Andrew Raycroft,21,BOS,1,,0,0,1,3,29,26,0.897,2.77,0,0.1,65,,,,,,0,0,0,0,2001
80,Jordan Sigalet,24,BOS,1,,0,0,0,0,0,0,,0,0,0,1,,,,,,0,0,0,0,2005
69,Tuukka Rask,21,BOS,1,1,1,0,0,0,35,35,1,0,1,0.6,60,1,1,0,,,0,0,0,0,2008
43,Anton Khudobin,25,BOS,1,1,1,0,0,1,45,44,0.978,1,0,0.6,60,1,1,0,,,0,0,0,0,2011
90,Niklas Svedberg,24,BOS,1,1,1,0,0,2,35,33,0.943,1.97,0,0.3,61,1,1,0,,,0,0,0,0,2013
84,Malcolm Subban,21,BOS,1,1,0,1,0,3,6,3,0.5,5.76,0,-0.3,31,0,0,1,,,0,0,0,0,2014
88,Malcolm Subban,23,BOS,1,1,0,1,0,3,16,13,0.813,5.88,0,-0.1,31,0,0,1,,,0,0,0,0,2016
22,Joe Junkin,22,BOS,1,,0,0,0,0,4,4,1.000,0.00,0,0.1,9,,,,,,0,0,0,0,1968
14,Bob Ring,19,BOS,1,,0,0,0,4,21,17,0.810,7.24,0,-0.1,33,,,,,,0,0,0,0,1965
14,Jerry Toppazzini,29,BOS,1,,0,0,0,0,0,0,,0,0,0,1,,,,,,15,35,50,35,1960
7,Don Keenan,20,BOS,1,,0,1,0,4,41,37,0.902,4,0,0.1,60,,,,,,0,0,0,0,1958
4,Claude Evans,24,BOS,1,,0,0,1,4,34,30,0.882,4.00,0,0.0,60,,,,,,0,0,0,0,1957
13,Lefty Wilson,38,BOS,1,,0,0,1,1,24,23,0.958,1.16,0,0.3,52,,,,,,0,0,0,0,1957
4,John Henderson,22,BOS,1,,0,1,0,4,28,24,0.857,4.00,0,0.0,60,,,,,,0,0,0,0,1955
9,Claude Pronovost,20,BOS,1,,1,0,0,0,31,31,1.000,0.00,1,0.4,60,,,,,,0,0,0,2,1955
18,Rocky Farr,25,BUF,1,,0,1,0,3,22,19,0.864,6.25,0,0,29,,,,,,0,0,0,0,1972
4,Gary Bromley,26,BUF,1,,0,1,0,7,34,27,0.794,7,0,-0.1,60,,,,,,0,0,0,0,1975
12,Jacques Cloutier,25,BUF,1,,0,0,1,4,37,33,0.892,3.69,0,0.2,65,,,,,,0,1,1,0,1984
38,David Littman,23,BUF,1,,0,0,0,3,18,15,0.833,5.04,0,0,36,,,,,,0,0,0,0,1990
39,David Littman,24,BUF,1,,0,1,0,4,29,25,0.862,4,0,0.1,60,,,,,,0,0,0,0,1991
26,Jhonas Enroth,21,BUF,1,1,0,1,0,4,37,33,0.892,4.12,0,0.1,58,0,0,0,,,0,0,0,0,2009
53,Andrey Makarov,21,BUF,1,1,0,1,0,3,36,33,0.917,3,0,0.2,60,1,1,0,,,0,0,0,0,2014
43,Jason Kasdorf,23,BUF,1,1,0,1,0,4,30,26,0.867,4,0,0,60,0,0,0,,,0,0,0,0,2015
91,Linus Ullmark,23,BUF,1,1,0,1,0,3,36,33,0.917,3.06,0,0.2,59,1,1,0,,,0,0,0,0,2016
95,Adam Wilcox,25,BUF,1,0,0,1,0,0,14,14,1,0,0,0.2,39,0,,0,,,0,0,0,0,2017
2,Jorge Alves,38,CAR,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0,0,0,2016
68,Alex Nedeljkovic,21,CAR,1,0,0,0,0,0,17,17,1,0,0,0.3,30,0,,0,,,0,0,0,2,2016
64,Alex Nedeljkovic,23,CAR,1,1,1,0,0,2,26,24,0.923,2,0,0.2,60,1,1,0,,,0,0,0,0,2018
2,Ken Brown,22,CBH,1,,0,0,0,1,14,13,0.929,3.37,0,0,18,,,,,,0,0,0,0,1970
55,Warren Skorodenski,21,CBH,1,,0,1,0,5,30,25,0.833,5.05,0,0.1,59,,,,,,0,0,0,0,1981
11,Chris Clifford,18,CBH,1,,0,0,0,0,8,8,1,0,0,0.1,20,,,,,,0,0,0,0,1984
44,Darren Pang,20,CBH,1,,0,1,0,4,22,18,0.818,4,0,0,60,,,,,,0,0,0,0,1984
57,Warren Skorodenski,25,CBH,1,,0,1,0,6,45,39,0.867,6,0,0.2,60,,,,,,0,0,0,0,1985
46,Dan LaCosta,21,CBJ,1,0,0,0,0,0,5,5,1,0,0,0.1,13,0,,0,,,0,0,0,0,2007
50,David LeNeveu,27,CBJ,1,0,0,0,0,2,12,10,0.833,6,0,0,20,0,,0,,,0,0,0,0,2010
38,Shawn Hunwick,24,CBJ,1,0,0,0,0,0,0,0,,0,0,0,3,0,,0,,,0,0,0,0,2011
28,Anton Forsberg,24,CBJ,1,1,0,1,0,4,27,23,0.852,4.1,0,0,59,0,0,0,,,0,0,0,0,2016
67,Mike Vernon,20,CGY,1,,0,1,0,4,6,2,0.333,21.88,0,-0.2,11,,,,,,0,0,0,0,1983
23,Steve Guenette,25,CGY,1,,1,0,0,4,30,26,0.867,4,0,0.1,60,,,,,,0,0,0,0,1990
59,Scott Sharples,23,CGY,1,,0,0,1,4,40,36,0.9,3.69,0,0.3,65,,,,,,0,0,0,0,1991
62,Andrei Trefilov,23,CGY,1,,0,0,1,5,39,34,0.872,4.62,0,0.2,65,,,,,,0,0,0,2,1992
47,Jason Muzzatti,23,CGY,1,,0,1,0,8,35,27,0.771,8,0,-0.2,60,,,,,,0,0,0,0,1993
38,Jason Muzzatti,24,CGY,1,,0,0,0,0,8,8,1,0,0,0.1,10,,,,,,0,0,0,0,1994
89,Kay Whitmore,34,CGY,1,,0,1,0,3,21,18,0.857,3.08,0,0,58,,,,,,0,0,0,0,2001
41,Matt Keetley,21,CGY,1,0,0,0,0,0,2,2,1,0,0,0,9,0,,0,,,0,0,0,0,2007
30,Jon Gillies,23,CGY,1,1,1,0,0,1,28,27,0.964,1,0,0.3,60,1,1,0,,,0,0,0,0,2016
81,David Rittich,24,CGY,1,0,0,0,0,1,10,9,0.9,3,0,0,20,0,,0,,,0,0,0,0,2016
12,Chris Clifford,22,CHI,1,,0,0,0,0,0,0,,0,0,0,4,,,,,,0,0,0,0,1988
71,Jimmy Waite,21,CHI,1,,1,0,0,2,28,26,0.929,2,0,0.3,60,,,,,,0,0,0,0,1990
37,Ray LeBlanc,27,CHI,1,,1,0,0,1,22,21,0.955,1,0,0.2,60,,,,,,0,0,0,0,1991
67,Christian Soucy,23,CHI,1,,0,0,0,0,0,0,,0,0,0,3,,,,,,0,0,0,0,1993
74,Jimmy Waite,26,CHI,1,,0,0,0,0,8,8,1,0,0,0.1,31,,,,,,0,0,0,0,1995
90,Matt Underhill,24,CHI,1,,0,1,0,4,33,29,0.879,3.95,0,0.1,61,,,,,,0,0,0,0,2003
15,Corey Crawford,25,CHI,1,1,0,1,0,3,35,32,0.914,3.04,0,0.2,59,1,1,0,,,0,0,0,0,2009
39,Carter Hutton,27,CHI,1,1,0,1,0,3,28,25,0.893,3.06,0,0.1,59,0,0,0,,,0,0,0,0,2012
87,Kent Simpson,21,CHI,1,0,,,,2,7,5,0.714,6,0,-0.1,20,0,,0,,,0,0,0,0,2013
51,Michael Leighton,34,CHI,1,0,0,0,0,1,17,16,0.941,1.52,0,0.2,39,0,,0,,,0,0,0,0,2015
29,Scott Foster,36,CHI,1,0,0,0,0,0,7,7,1,0,0,0.1,14,0,,0,,,0,0,0,0,2017
25,Rick LaFerriere,21,CLR,1,,0,0,0,1,19,18,0.947,3,0,0.1,20,,,,,,0,0,0,0,1981
15,Marc Denis,19,COL,1,,0,1,0,3,26,23,0.885,3.02,0,0.1,60,,,,,,0,0,0,0,1996
89,Tyler Weiman,23,COL,1,0,0,0,0,0,10,10,1,0,0,0.2,16,0,,0,,,0,0,0,0,2007
1,Sami Aittokallio,20,COL,1,1,0,0,0,2,25,23,0.92,2.43,0,0.2,49,1,1,0,,,0,0,0,0,2012
1,Sami Aittokallio,21,COL,1,1,0,1,0,3,18,15,0.833,4.5,0,-0.1,40,0,0,1,,,0,0,0,0,2013
91,Roman Will,23,COL,1,0,0,0,0,1,3,2,0.667,3.25,0,-0.1,18,0,,0,,,0,0,0,0,2015
39,Andrew Hammond,29,COL,1,1,0,1,0,2,33,31,0.939,2.06,0,0.3,58,1,1,0,,,0,0,0,0,2017
15,Manny Fernandez,20,DAL,1,,0,1,0,3,27,24,0.889,3.05,0,0.1,59,,,,,,0,0,0,0,1994
77,Jordan Willis,20,DAL,1,,0,1,0,1,14,13,0.929,3.2,0,0.1,19,,,,,,0,0,0,0,1995
21,Manny Fernandez,24,DAL,1,,0,1,0,2,29,27,0.931,2.01,0,0.2,60,,,,,,0,0,0,0,1998
28,Dan Ellis,23,DAL,1,,1,0,0,3,28,25,0.893,3,0,0.1,60,,,,,,0,0,0,0,2003
76,Tobias Stephan,24,DAL,1,1,0,0,1,2,40,38,0.95,1.98,0,0.4,61,1,1,0,,,0,0,0,0,2007
40,Brent Krahn,26,DAL,1,0,0,0,0,3,9,6,0.667,9,0,-0.2,20,0,,0,,,0,0,0,0,2008
13,Matt Climie,26,DAL,1,1,0,1,0,5,38,33,0.868,5,0,0,60,0,0,0,,,0,0,0,0,2009
3,Richard Bachman,23,DAL,1,0,0,0,0,0,4,4,1,0,0,0.1,10,0,,0,,,0,0,0,0,2010
14,Jack Campbell,22,DAL,1,1,0,1,0,6,47,41,0.872,6,0,0,60,0,0,0,,,0,0,0,0,2013
73,Cristopher Nilstorp,29,DAL,1,0,,,,3,17,14,0.824,4.56,0,-0.1,39,0,,0,,,0,0,0,0,2013
10,Denis DeJordy,35,DET,1,,0,1,0,4,8,4,0.5,12,0,-0.2,20,,,,,,0,0,0,0,1973
38,Terry Richardson,22,DET,1,,0,1,0,7,36,29,0.806,7,0,-0.1,60,,,,,,0,0,0,2,1975
27,Al Jensen,22,DET,1,,0,1,0,7,30,23,0.767,7,0,-0.1,60,,,,,,0,0,0,0,1980
27,Claude Legris,25,DET,1,,0,0,1,0,18,18,1,0,0,0.2,28,,,,,,0,1,1,0,1981
55,Jim Rutherford,33,DET,1,,0,1,0,7,39,32,0.821,7,0,-0.1,60,,,,,,0,0,0,0,1982
48,Chris Pusey,20,DET,1,,0,0,0,3,12,9,0.75,4.5,0,0,40,,,,,,0,0,0,0,1985
36,Scott King,23,DET,1,,0,0,0,2,11,9,0.818,2.66,0,0,45,,,,,,0,0,0,0,1990
6,Allan Bester,27,DET,1,,0,0,0,2,9,7,0.778,3.93,0,0,31,,,,,,0,0,0,0,1991
36,Scott King,24,DET,1,,0,0,0,1,5,4,0.8,3.65,0,0,16,,,,,,0,0,0,0,1991
33,Jimmy Howard,24,DET,1,1,0,1,0,4,28,24,0.857,4.1,0,0,59,0,0,0,,,0,0,0,0,2008
59,Thomas McCollum,21,DET,1,0,0,0,0,3,8,5,0.625,12.31,0,-0.2,15,0,,0,,,0,0,0,0,2010
7,George Gardner,23,DET,1,,1,0,0,1,24,23,0.958,1.00,0,0.4,60,,,,,,0,0,0,0,1965
1,Hank Bassen,31,DET,1,,0,1,0,4,34,30,0.882,4.00,0,0.0,60,,,,,,0,0,0,0,1963
5,Harrison Gray,22,DET,1,,0,1,0,5,31,26,0.839,7.50,0,-0.2,40,,,,,,0,0,0,0,1963
11,Pat Rupp,21,DET,1,,0,1,0,4,30,26,0.867,4.00,0,0.0,60,,,,,,0,0,0,0,1963
17,Bob Dupuis,27,EDM,1,,0,1,0,4,35,31,0.886,4.05,0,0.1,59,,,,,,0,0,0,0,1979
2,Marco Baron,25,EDM,1,,0,1,0,2,9,7,0.778,3.71,0,0,32,,,,,,0,0,0,0,1984
47,Daryl Reaugh,19,EDM,1,,0,1,0,5,35,30,0.857,5.04,0,0.1,60,,,,,,0,0,0,0,1984
